                                     | Core 0      | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  1999999605 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   788113494 |  788113494 |  788113494 |  788113494 |  788113494 |  788113494 |  788113494 |  788113494
  IPC                                |        2.54 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   231798087 |  231798087 |  231798087 |  231798087 |  231798087 |  231798087 |  231798087 |  231798087
  Idle time (ns)                     |       21581 |  231798087 |  231798087 |  231798087 |  231798087 |  231798087 |  231798087 |  231798087
  Idle time (%)                      |        0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |             |            |            |            |            |            |            |           
  num correct                        |    31018690 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |         141 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |             |            |            |            |            |            |            |           
  I-TLB                              |             |            |            |            |            |            |            |           
    num accesses                     |   166533929 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |           7 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |             |            |            |            |            |            |            |           
    num accesses                     |   731959144 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      122913 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.02% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |             |            |            |            |            |            |            |           
    num accesses                     |      122920 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      107907 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      87.79% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |             |            |            |            |            |            |            |           
  Cache L1-I                         |             |            |            |            |            |            |            |           
    num cache accesses               |   166533929 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       54709 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.03% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        0.03 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |             |            |            |            |            |            |            |           
    num cache accesses               |   731959144 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     6924364 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.95% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        3.46 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |             |            |            |            |            |            |            |           
    num cache accesses               |     6979076 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     6976212 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      99.96% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        3.49 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |             |            |            |            |            |            |            |           
    num cache accesses               |     6976216 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     6722681 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      96.37% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        3.36 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |             |            |            |            |            |            |            |           
  num dram accesses                  |    13311045 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      102.59 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |        0.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      14.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |            |            |            |            |            |            |           
  num loads from dram                |      192376 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
