                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999845 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1494685897 |  1494685897 |  1494685897 |  1494685897 |  1494685897 |  1494685897 |  1494685897 |  1494685897
  IPC                                |        1.34 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   439613499 |   439613499 |   439613499 |   439613499 |   439613499 |   439613499 |   439613499 |   439613499
  Idle time (ns)                     |       54060 |   439613499 |   439613499 |   439613499 |   439613499 |   439613499 |   439613499 |   439613499
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    91505349 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    12206610 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |      11.77% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |        6.10 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   228311974 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1148874486 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      226870 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.02% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.11 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      226870 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      153889 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      67.83% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.08 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   228311974 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     7649727 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       3.35% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        3.82 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1148874486 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     1202960 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.10% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.60 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     8983604 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      266840 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       2.97% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.13 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |      397757 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      192499 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      48.40% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.10 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |      353671 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      102.66 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.15 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      189906 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
