                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999845 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1409645097 |  1409645097 |  1409645097 |  1409645097 |  1409645097 |  1409645097 |  1409645097 |  1409645097
  IPC                                |        1.42 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   414601499 |   414601499 |   414601499 |   414601499 |   414601499 |   414601499 |   414601499 |   414601499
  Idle time (ns)                     |       54028 |   414601499 |   414601499 |   414601499 |   414601499 |   414601499 |   414601499 |   414601499
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    91505349 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    12206610 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |      11.77% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |        6.10 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   146178352 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1148874485 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      226870 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.02% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.11 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      226870 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      153889 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      67.83% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.08 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   146178352 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      151432 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.10% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.08 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1148874485 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      394498 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.03% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.20 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |      668478 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      220487 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      32.98% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.11 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |      343035 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      151997 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      44.31% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.08 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |      293487 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      105.65 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.65 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      151091 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
