                                     | Core 0      | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  1999999816 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   763535928 |  763535928 |  763535928 |  763535928 |  763535928 |  763535928 |  763535928 |  763535928
  IPC                                |        2.62 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   224569391 |  224569391 |  224569391 |  224569391 |  224569391 |  224569391 |  224569391 |  224569391
  Idle time (ns)                     |       21765 |  224569391 |  224569391 |  224569391 |  224569391 |  224569391 |  224569391 |  224569391
  Idle time (%)                      |        0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |             |            |            |            |            |            |            |           
  num correct                        |    12143089 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          71 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |             |            |            |            |            |            |            |           
  I-TLB                              |             |            |            |            |            |            |            |           
    num accesses                     |   142997444 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |           5 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |             |            |            |            |            |            |            |           
    num accesses                     |   800775363 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     2155691 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.27% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        1.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |             |            |            |            |            |            |            |           
    num accesses                     |     2155696 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       62004 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       2.88% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |             |            |            |            |            |            |            |           
  Cache L1-I                         |             |            |            |            |            |            |            |           
    num cache accesses               |   142997444 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       32756 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.02% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        0.02 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |             |            |            |            |            |            |            |           
    num cache accesses               |   800775363 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     7984600 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       1.00% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        3.99 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |             |            |            |            |            |            |            |           
    num cache accesses               |     8017356 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     3322418 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      41.44% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        1.66 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |             |            |            |            |            |            |            |           
    num cache accesses               |     3322418 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     3260632 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      98.14% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        1.63 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |             |            |            |            |            |            |            |           
  num dram accesses                  |     6520924 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      102.73 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |        0.23 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |       7.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |            |            |            |            |            |            |           
  num loads from dram                |        2752 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
