                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  1999999832 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1079330751 |  1079330751 |  1079330751 |  1079330751 |  1079330751 |  1079330751 |  1079330751 |  1079330751
  IPC                                |        1.85 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   317450221 |   317450221 |   317450221 |   317450221 |   317450221 |   317450221 |   317450221 |   317450221
  Idle time (ns)                     |       56573 |   317450221 |   317450221 |   317450221 |   317450221 |   317450221 |   317450221 |   317450221
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |    74016679 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |      843747 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       1.13% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |        0.42 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   192019897 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |        3927 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   852861483 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |      218820 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.03% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.11 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |      222747 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |       43019 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      19.31% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.02 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   192019897 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      444361 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.23% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.22 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   852861483 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     4154516 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.49% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        2.08 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     4817721 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     3165751 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      65.71% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.58 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     3385083 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     1339734 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      39.58% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.67 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     2499598 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      102.74 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.24 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       1.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |      620172 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
